國道別,方向,編號,設定收費區代碼,起點交流道,迄點交流道,收費區設定里程,小型車牌價,大型車牌價,聯結車牌價,緯度,經度
國道三甲,S,03A-004.1S,03A0041S,萬芳,木柵,1.5,1.8,2.2,2.7,25.003864,121.586039
國道三號,S,03F-000.6S,03F0006S,基金,瑪東系統,2.3,2.7,3.4,4.1,25.137106,121.708908
國道三號,N,03F-002.1N,03F0021N,瑪東系統,基金,2.3,2.7,3.4,4.1,25.129514,121.698631
國道三號,N,03F-005.4N,03F0054N,汐止系統,瑪東系統,8.4,10,12.6,15.1,25.103747,121.681789
國道三號,S,03F-008.7S,03F0087S,瑪東系統,汐止系統,8.4,10,12.6,15.1,25.089994,121.653556
國道三號,N,03F-011.6N,03F0116N,新台五路,汐止系統,2.1,2.5,3.1,3.7,25.065611,121.643467
國道三號,S,03F-011.6S,03F0116S,汐止系統,新台五路,2.1,2.5,3.1,3.7,25.065611,121.643467
國道三號,S,03F-013.6S,03F0136S,新台五路,南港,1.7,2,2.5,3,25.052742,121.631281
國道三號,N,03F-014.0N,03F0140N,南港,新台五路,1.7,2,2.5,3,25.050319,121.628156
國道三號,N,03F-015.0N,03F0150N,南港系統&南深路出口匝道,南港,1.2,1.4,1.8,2.1,25.042389,121.624789
國道三號,S,03F-015.8S,03F0158S,南港,南港系統,1.2,1.4,1.8,2.1,25.036533,121.621386
國道三號,N,03F-020.1N,03F0201N,木柵,南港系統&南深路出口匝道,4.4,5.2,6.6,7.9,25.007375,121.596381
國道三號,S,03F-020.1S,03F0201S,南港系統,木柵,4.7,5.6,7,8.4,25.007436,121.595981
國道三號,N,03F-021.7N,03F0217N,新店,木柵,6.3,7.5,9.4,11.3,24.993744,121.593367
國道三號,S,03F-021.7S,03F0217S,木柵,新店,6.3,7.5,9.4,11.3,24.993567,121.592933
國道三號,N,03F-030.1N,03F0301N,安坑,新店,4.1,4.9,6.1,7.3,24.96255,121.530572
國道三號,S,03F-030.1S,03F0301S,新店,安坑,4.1,4.9,6.1,7.3,24.96255,121.530572
國道三號,S,03F-033.7S,03F0337S,安坑,中和,4.8,5.7,7.2,8.6,24.978881,121.502381
國道三號,N,03F-033.8N,03F0338N,中和,安坑,4.8,5.7,7.2,8.6,24.978586,121.501744
國道三號,N,03F-039.4N,03F0394N,土城,中和,6.7,8,10,12,24.975247,121.454925
國道三號,S,03F-039.4S,03F0394S,中和,土城,6.7,8,10,12,24.975247,121.454925
國道三號,N,03F-044.7N,03F0447N,樹林,土城,4.9,5.8,7.3,8.8,24.950503,121.412681
國道三號,S,03F-044.7S,03F0447S,土城,樹林,4.9,5.8,7.3,8.8,24.950503,121.412681
國道三號,N,03F-049.8N,03F0498N,三鶯,樹林,3.3,3.9,4.9,5.9,24.943825,121.365275
國道三號,S,03F-049.8S,03F0498S,樹林,三鶯,3.3,3.9,4.9,5.9,24.943825,121.365275
國道三號,N,03F-052.5N,03F0525N,鶯歌系統,三鶯,3.7,4.4,5.5,6.6,24.936025,121.3419
國道三號,S,03F-052.5S,03F0525S,三鶯,鶯歌系統,3.7,4.4,5.5,6.6,24.936025,121.3419
國道三號,N,03F-055.9N,03F0559N,大溪,鶯歌系統,8.4,10,12.6,15.1,24.930225,121.312458
國道三號,S,03F-055.9S,03F0559S,鶯歌系統,大溪,8.4,10,12.6,15.1,24.930225,121.312458
國道三號,N,03F-064.8N,03F0648N,龍潭,大溪,5.5,6.6,8.2,9.9,24.878792,121.250839
國道三號,S,03F-064.8S,03F0648S,大溪,龍潭,5.5,6.6,8.2,9.9,24.878792,121.250839
國道三號,N,03F-069.8N,03F0698N,高原,龍潭,4.7,5.6,7,8.4,24.856558,121.208581
國道三號,S,03F-069.8S,03F0698S,龍潭,高原,4.7,5.6,7,8.4,24.856558,121.208581
國道三號,N,03F-074.6N,03F0746N,關西服務區,高原,3.2,3.8,4.8,5.7,24.816364,121.200339
國道三號,S,03F-074.6S,03F0746S,高原,關西服務區,3.2,3.8,4.8,5.7,24.816364,121.200339
國道三號,N,03F-078.3N,03F0783N,關西,關西服務區,3,3.6,4.5,5.4,24.797339,121.179128
國道三號,S,03F-078.3S,03F0783S,關西服務區,關西,3,3.6,4.5,5.4,24.797339,121.179128
國道三號,N,03F-084.6N,03F0846N,竹林,關西,11.1,13.3,16.6,19.9,24.791439,121.125997
國道三號,S,03F-084.6S,03F0846S,關西,竹林,11.1,13.3,16.6,19.9,24.791439,121.125997
國道三號,N,03F-096.1N,03F0961N,寶山,竹林,8.5,10.2,12.7,15.3,24.758442,121.030425
國道三號,S,03F-096.1S,03F0961S,竹林,寶山,8.5,10.2,12.7,15.3,24.758442,121.030425
國道三號,N,03F-099.6N,03F0996N,新竹系統,寶山,1.9,2.2,2.8,3.4,24.755811,120.997269
國道三號,S,03F-099.6S,03F0996S,寶山,新竹系統,1.9,2.2,2.8,3.4,24.755811,120.997269
國道三號,N,03F-102.2N,03F1022N,茄苳,新竹系統,3.2,3.8,4.8,5.7,24.757914,120.972267
國道三號,S,03F-102.2S,03F1022S,新竹系統,茄苳,3.2,3.8,4.8,5.7,24.757914,120.972267
國道三號,N,03F-105.1N,03F1051N,香山,茄苳,5.3,6.3,7.9,9.5,24.753094,120.945675
國道三號,S,03F-105.1S,03F1051S,茄苳,香山,5.3,6.3,7.9,9.5,24.753094,120.945675
國道三號,N,03F-112.8N,03F1128N,西濱,香山,5.6,6.7,8.4,10,24.711383,120.889639
國道三號,S,03F-112.8S,03F1128S,香山,西濱,5.6,6.7,8.4,10,24.711383,120.889639
國道三號,N,03F-116.1N,03F1161N,竹南,西濱,3.7,4.4,5.5,6.6,24.698006,120.860086
國道三號,S,03F-116.1S,03F1161S,西濱,竹南,3.7,4.4,5.5,6.6,24.698006,120.860086
國道三號,N,03F-121.5N,03F1215N,大山,竹南,5.4,6.4,8.1,9.7,24.655964,120.838242
國道三號,S,03F-121.5S,03F1215S,竹南,大山,5.4,6.4,8.1,9.7,24.655964,120.838242
國道三號,N,03F-125.7N,03F1257N,後龍,大山,5.7,6.8,8.5,10.2,24.627161,120.814006
國道三號,S,03F-125.7S,03F1257S,大山,後龍,5.7,6.8,8.5,10.2,24.627161,120.814006
國道三號,N,03F-133.2N,03F1332N,西湖服務區,後龍,4.7,5.6,7,8.4,24.579642,120.764417
國道三號,S,03F-133.2S,03F1332S,後龍,西湖服務區,4.7,5.6,7,8.4,24.579642,120.764417
國道三號,N,03F-139.5N,03F1395N,通霄,西湖服務區,9.4,11.2,14.1,16.9,24.531125,120.733253
國道三號,S,03F-139.5S,03F1395S,西湖服務區,通霄,9.4,11.2,14.1,16.9,24.531125,120.733253
國道三號,N,03F-148.5N,03F1485N,苑裡,通霄,12.5,15,18.7,22.5,24.467308,120.681217
國道三號,S,03F-148.5S,03F1485S,通霄,苑裡,12.5,15,18.7,22.5,24.467308,120.681217
國道三號,N,03F-163.3N,03F1633N,大甲,苑裡,7.5,9,11.2,13.5,24.341119,120.651567
國道三號,S,03F-163.3S,03F1633S,苑裡,大甲,7.5,9,11.2,13.5,24.341119,120.651567
國道三號,N,03F-165.1N,03F1651N,中港系統,大甲,4.7,5.6,7,8.4,24.334719,120.635578
國道三號,S,03F-165.1S,03F1651S,大甲,中港系統,4.7,5.6,7,8.4,24.334719,120.635578
國道三號,N,03F-171.0N,03F1710N,清水服務區,中港系統,3.5,4.2,5.2,6.3,24.292881,120.601964
國道三號,S,03F-171.0S,03F1710S,中港系統,清水服務區,3.5,4.2,5.2,6.3,24.292881,120.601964
國道三號,N,03F-173.9N,03F1739N,沙鹿,清水服務區,3.7,4.4,5.5,6.6,24.269464,120.590806
國道三號,S,03F-173.9S,03F1739S,清水服務區,沙鹿,3.7,4.4,5.5,6.6,24.269464,120.590806
國道三號,N,03F-177.9N,03F1779N,龍井,沙鹿,6.7,8,10,12,24.234647,120.593306
國道三號,S,03F-177.9S,03F1779S,沙鹿,龍井,6.7,8,10,12,24.234647,120.593306
國道三號,N,03F-186.0N,03F1860N,和美,龍井,8.8,10.5,13.2,15.8,24.177831,120.548244
國道三號,S,03F-186.0S,03F1860S,龍井,和美,8.8,10.5,13.2,15.8,24.177831,120.548244
國道三號,N,03F-194.1N,03F1941N,彰化系統,和美,5.1,6.1,7.6,9.1,24.120947,120.534547
國道三號,S,03F-194.4S,03F1944S,和美,彰化系統,5.1,6.1,7.6,9.1,24.119011,120.536692
國道三號,S,03F-199.1S,03F1991S,彰化系統,快官,5.4,6.4,8.1,9.7,24.102808,120.577661
國道三號,N,03F-199.2N,03F1992N,快官,彰化系統,5.4,6.4,8.1,9.7,24.102525,120.578747
國道三號,N,03F-206.6N,03F2066N,烏日,快官,5.2,6.2,7.8,9.3,24.070333,120.639711
國道三號,S,03F-206.6S,03F2066S,快官,烏日,5.2,6.2,7.8,9.3,24.070333,120.639711
國道三號,N,03F-207.8N,03F2078N,中投,烏日,1.8,2.1,2.7,3.2,24.067958,120.651433
國道三號,S,03F-207.9S,03F2079S,烏日,中投,1.8,2.1,2.7,3.2,24.067778,120.652361
國道三號,N,03F-210.0N,03F2100N,霧峰,中投,2.3,2.7,3.4,4.1,24.060428,120.671533
國道三號,S,03F-210.0S,03F2100S,中投,霧峰,2.3,2.7,3.4,4.1,24.060653,120.670964
國道三號,N,03F-212.5N,03F2125N,霧峰系統,霧峰,2.9,3.4,4.3,5.2,24.040994,120.677853
國道三號,S,03F-212.9S,03F2129S,霧峰,霧峰系統,2.9,3.4,4.3,5.2,24.037419,120.675925
國道三號,S,03F-215.2S,03F2152S,霧峰系統,草屯,3,3.6,4.5,5.4,24.019992,120.663222
國道三號,N,03F-215.3N,03F2153N,草屯,霧峰系統,3,3.6,4.5,5.4,24.018944,120.663161
國道三號,N,03F-219.4N,03F2194N,中興系統,草屯,5.6,6.7,8.4,10,23.985844,120.652714
國道三號,S,03F-219.4S,03F2194S,草屯,中興系統,5.6,6.7,8.4,10,23.985844,120.652714
國道三號,N,03F-223.1N,03F2231N,中興,中興系統,1.8,2.1,2.7,3.2,23.957103,120.657614
國道三號,S,03F-223.5S,03F2235S,中興系統,中興,1.8,2.1,2.7,3.2,23.955503,120.661267
國道三號,N,03F-226.0N,03F2260N,南投,中興,3.8,4.5,5.7,6.8,23.937928,120.676853
國道三號,S,03F-226.1S,03F2261S,中興,南投,3.8,4.5,5.7,6.8,23.9376,120.677039
國道三號,N,03F-230.6N,03F2306N,南投服務區,南投,3,3.6,4.5,5.4,23.906781,120.702828
國道三號,S,03F-230.6S,03F2306S,南投,南投服務區,3,3.6,4.5,5.4,23.906781,120.702828
國道三號,N,03F-233.6N,03F2336N,名間,南投服務區,5.6,6.7,8.4,10,23.882031,120.709186
國道三號,S,03F-233.6S,03F2336S,南投服務區,名間,5.6,6.7,8.4,10,23.882031,120.709186
國道三號,N,03F-241.5N,03F2415N,竹山,名間,6.7,8,10,12,23.814836,120.700003
國道三號,S,03F-241.5S,03F2415S,名間,竹山,6.7,8,10,12,23.814836,120.700003
國道三號,N,03F-244.7N,03F2447N,南雲,竹山,6.3,7.5,9.4,11.3,23.787486,120.704519
國道三號,S,03F-244.7S,03F2447S,竹山,南雲,6.3,7.5,9.4,11.3,23.787486,120.704519
國道三號,N,03F-253.5N,03F2535N,斗六,南雲,10.2,12.2,15.3,18.3,23.775581,120.6259
國道三號,S,03F-253.5S,03F2535S,南雲,斗六,10.2,12.2,15.3,18.3,23.775581,120.6259
國道三號,N,03F-261.4N,03F2614N,古坑(文化路)&古坑系統,斗六,8.1,9.7,12.1,14.5,23.724425,120.601786
國道三號,S,03F-261.4S,03F2614S,斗六,古坑(文化路)&古坑系統,8.1,9.7,12.1,14.5,23.724425,120.601786
國道三號,N,03F-270.9N,03F2709N,古坑(朝陽路),古坑(文化路)&古坑系統,2.1,2.5,3.1,3.7,23.649278,120.572911
國道三號,S,03F-270.9S,03F2709S,古坑(文化路)&古坑系統,古坑(朝陽路),2.1,2.5,3.1,3.7,23.649142,120.57295
國道三號,N,03F-274.7N,03F2747N,古坑服務區,古坑(朝陽路),5.7,6.8,8.5,10.2,23.618203,120.558567
國道三號,S,03F-274.7S,03F2747S,古坑(朝陽路),古坑服務區,5.7,6.8,8.5,10.2,23.618203,120.558567
國道三號,N,03F-277.7N,03F2777N,梅山,古坑服務區,2.5,3,3.7,4.5,23.606792,120.532511
國道三號,S,03F-277.7S,03F2777S,古坑服務區,梅山,2.5,3,3.7,4.5,23.606792,120.532511
國道三號,N,03F-284.0N,03F2840N,竹崎(縣道166線),梅山,9.6,11.5,14.4,17.2,23.558125,120.505061
國道三號,S,03F-284.0S,03F2840S,梅山,竹崎(縣道166線),9.6,11.5,14.4,17.2,23.558125,120.505061
國道三號,N,03F-289.9N,03F2899N,竹崎(縣道159線),竹崎(縣道166線),2,2.4,3,3.6,23.511683,120.486328
國道三號,S,03F-289.9S,03F2899S,竹崎(縣道166線),竹崎(縣道159線),2,2.4,3,3.6,23.511683,120.486328
國道三號,N,03F-292.3N,03F2923N,中埔,竹崎(縣道159線),6.5,7.8,9.7,11.7,23.492078,120.494586
國道三號,S,03F-292.3S,03F2923S,竹崎(縣道159線),中埔,6.5,7.8,9.7,11.7,23.492078,120.494586
國道三號,N,03F-298.5N,03F2985N,水上系統,中埔,2.9,3.4,4.3,5.2,23.442486,120.4812
國道三號,S,03F-298.5S,03F2985S,中埔,水上系統,2.9,3.4,4.3,5.2,23.442486,120.4812
國道三號,N,03F-310.1N,03F3101N,白河,水上系統,11.3,13.5,16.9,20.3,23.361253,120.436356
國道三號,S,03F-310.1S,03F3101S,水上系統,白河,11.3,13.5,16.9,20.3,23.361253,120.436356
國道三號,N,03F-318.7N,03F3187N,東山服務區,白河,8.1,9.7,12.1,14.5,23.296692,120.404164
國道三號,S,03F-318.7S,03F3187S,白河,東山服務區,8.1,9.7,12.1,14.5,23.296692,120.404164
國道三號,N,03F-321.1N,03F3211N,柳營,東山服務區,2.8,3.3,4.2,5,23.279281,120.390253
國道三號,S,03F-321.1S,03F3211S,東山服務區,柳營,2.8,3.3,4.2,5,23.279281,120.390253
國道三號,N,03F-325.9N,03F3259N,烏山頭,柳營,7.1,8.5,10.6,12.7,23.244994,120.367378
國道三號,S,03F-325.9S,03F3259S,柳營,烏山頭,7.1,8.5,10.6,12.7,23.244994,120.367378
國道三號,N,03F-330.7N,03F3307N,官田系統,烏山頭,5.1,6.1,7.6,9.1,23.203275,120.355461
國道三號,S,03F-330.7S,03F3307S,烏山頭,官田系統,5.1,6.1,7.6,9.1,23.203275,120.355461
國道三號,N,03F-339.2N,03F3392N,善化,官田系統,5.3,6.3,7.9,9.5,23.132064,120.333711
國道三號,S,03F-339.2S,03F3392S,官田系統,善化,5.3,6.3,7.9,9.5,23.132064,120.333711
國道三號,N,03F-344.5N,03F3445N,新化系統,善化,6.7,8,10,12,23.085272,120.329033
國道三號,S,03F-344.5S,03F3445S,善化,新化系統,6.7,8,10,12,23.085272,120.329033
國道三號,N,03F-349.6N,03F3496N,關廟,新化系統,10.1,12.1,15.1,18.1,23.040203,120.325172
國道三號,S,03F-349.6S,03F3496S,新化系統,關廟,10.1,12.1,15.1,18.1,23.040203,120.325172
國道三號,N,03F-358.8N,03F3588N,關廟服務區,關廟,6.8,8.1,10.2,12.2,22.969758,120.340164
國道三號,S,03F-358.8S,03F3588S,關廟,關廟服務區,6.8,8.1,10.2,12.2,22.969758,120.340164
國道三號,N,03F-367.0N,03F3670N,田寮,關廟服務區,5.7,6.8,8.5,10.2,22.901969,120.354767
國道三號,S,03F-367.0S,03F3670S,關廟服務區,田寮,5.7,6.8,8.5,10.2,22.901969,120.354767
國道三號,N,03F-374.3N,03F3743N,燕巢系統,田寮,13.5,16.2,20.2,24.3,22.845122,120.385428
國道三號,S,03F-374.3S,03F3743S,田寮,燕巢系統,13.5,16.2,20.2,24.3,22.845122,120.385428
國道三號,N,03F-385.4N,03F3854N,九如,燕巢系統,7.9,9.4,11.8,14.2,22.769197,120.441839
國道三號,S,03F-385.4S,03F3854S,燕巢系統,九如,7.9,9.4,11.8,14.2,22.769197,120.441839
國道三號,N,03F-391.6N,03F3916N,屏東,九如,5.4,6.4,8.1,9.7,22.749792,120.496839
國道三號,S,03F-391.6S,03F3916S,九如,屏東,5.4,6.4,8.1,9.7,22.749792,120.496839
國道三號,S,03F-398.1S,03F3981S,屏東,長治,3.8,4.5,5.7,6.8,22.7058,120.539336
國道三號,N,03F-398.4N,03F3984N,長治,屏東,3.8,4.5,5.7,6.8,22.704642,120.541133
國道三號,S,03F-401.8S,03F4018S,長治,麟洛,6.7,8,10,12,22.682775,120.563086
國道三號,N,03F-402.1N,03F4021N,麟洛,長治,6.7,8,10,12,22.680347,120.563311
國道三號,N,03F-414.2N,03F4142N,竹田系統,麟洛,7.3,8.7,10.9,13.1,22.579586,120.526161
國道三號,S,03F-414.2S,03F4142S,麟洛,竹田系統,7.3,8.7,10.9,13.1,22.579586,120.526161
國道三號,N,03F-416.8N,03F4168N,崁頂,竹田系統,6.7,8,10,12,22.557408,120.524761
國道三號,S,03F-416.8S,03F4168S,竹田系統,崁頂,6.7,8,10,12,22.557186,120.524558
國道三號,N,03F-423.2N,03F4232N,南州,崁頂,2.4,2.8,3.6,4.3,22.501367,120.525775
國道三號,S,03F-423.2S,03F4232S,崁頂,南州,2.4,2.8,3.6,4.3,22.501367,120.525775
國道三號,N,03F-425.9N,03F4259N,林邊,南州,5.9,7,8.8,10.6,22.477464,120.531386
國道三號,S,03F-426.3S,03F4263S,南州,林邊,5.9,7,8.8,10.6,22.474661,120.530844
國道五號,S,05F-000.0S,05F0000S,南港系統,石碇,4.1,4.9,6.1,7.3,25.035183,121.623019
國道五號,N,05F-000.1N,05F0001N,石碇,南港系統,4.1,4.9,6.1,7.3,25.035036,121.624719
國道五號,N,05F-005.5N,05F0055N,坪林交控中心專用道,石碇,10.5,12.6,15.7,18.9,24.996503,121.652086
國道五號,S,05F-005.5S,05F0055S,石碇,坪林交控中心專用道,10.5,12.6,15.7,18.9,24.996503,121.652086
國道五號,N,05F-028.7N,05F0287N,頭城,坪林交控中心專用道,15.7,18.8,23.5,28.2,24.842714,121.789183
國道五號,S,05F-028.7S,05F0287S,坪林交控中心專用道,頭城,15.7,18.8,23.5,28.2,24.842714,121.789183
國道五號,N,05F-030.9N,05F0309N,宜蘭(四城、大福),頭城,6.5,7.8,9.7,11.7,24.823656,121.786347
國道五號,S,05F-030.9S,05F0309S,頭城,宜蘭(四城、大福),6.5,7.8,9.7,11.7,24.823656,121.786347
國道五號,N,05F-043.8N,05F0438N,羅東,宜蘭(壯圍),5.7,6.9,8.6,10.2,24.711028,121.789478
國道五號,S,05F-043.9S,05F0439S,宜蘭(壯圍),羅東,5.7,6.9,8.6,10.2,24.710683,121.789461
國道五號,S,05F-049.4S,05F0494S,羅東,蘇澳,6.9,8.2,10.3,12.4,24.662581,121.799908
國道五號,N,05F-052.8N,05F0528N,蘇澳,羅東,6.9,8.2,10.3,12.4,24.632728,121.806958
國道五號,S,05F-R11.3S,05FR113S,宜蘭(四城、大福),宜蘭(壯圍),3.9,4.6,5.8,7,24.733789,121.782022
國道五號,N,05F-R14.3N,05FR143N,宜蘭(壯圍),宜蘭(四城、大福),3.9,4.6,5.8,7,24.733961,121.782364
